"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"53152-130268","WR","Josh","Josh Pearson","Pearson","0","0","4500","TB@WAS","TB","WAS","","","","",""
"53152-64222","RB","Jordan","Jordan Glasgow","Glasgow","0","2","4500","IND@BUF","IND","BUF","","","","",""
"53152-38624","RB","T.J.","T.J. Logan","Logan","0.36666666136847603","9","4500","TB@WAS","TB","WAS","IR","Knee","","",""
"53152-63201","RB","Xavier","Xavier Jones","Jones","0","3","4500","LAR@SEA","LAR","SEA","","","","",""
"53152-40674","WR","Jester","Jester Weah","Weah","0","1","4500","TB@WAS","WAS","TB","","","","",""
"53152-14820","RB","Nick","Nick Bellore","Bellore","0.6333333253860474","3","4500","LAR@SEA","SEA","LAR","","","","",""
"53152-32235","WR","Marcus","Marcus Johnson","Johnson","4.0625","8","4500","IND@BUF","IND","BUF","","","","",""
"53152-65518","WR","John","John Ursua","Ursua","0","1","4500","LAR@SEA","SEA","LAR","","","","",""
"53152-14319","RB","Taiwan","Taiwan Jones","Jones","0","3","4500","IND@BUF","BUF","IND","","","","",""
"53152-11504","WR","Andre","Andre Roberts","Roberts","0.07333333492279052","15","4500","IND@BUF","BUF","IND","","","","",""
"53152-26610","WR","Paul","Paul Richardson Jr.","Richardson Jr.","0","1","4500","LAR@SEA","SEA","LAR","","","","",""
"53152-61689","RB","James","James Gilbert","Gilbert","0","2","4500","LAR@SEA","LAR","SEA","","","","",""
"53152-64252","WR","Tony","Tony Brown","Brown","0","1","4500","TB@WAS","WAS","TB","","","","",""
"53152-88317","RB","Javon","Javon Leake","Leake","0","1","4500","TB@WAS","WAS","TB","","","","",""
"53152-69884","RB","Darius","Darius Anderson","Anderson","0","1","4500","IND@BUF","IND","BUF","","","","",""
"53152-54782","TE","Cameron","Cameron Brate","Brate","4.16923082791842","13","4500","TB@WAS","TB","WAS","","","","",""
"53152-56708","TE","Will","Will Dissly","Dissly","3.2733332316080728","15","4400","LAR@SEA","SEA","LAR","","","","",""
"53152-6914","TE","Greg","Greg Olsen","Olsen","3.8090910478071733","11","4300","LAR@SEA","SEA","LAR","Q","Foot","","",""
"53152-12551","D","Tampa Bay","Tampa Bay Buccaneers","Buccaneers","7.625","16","4300","TB@WAS","TB","WAS","","","","",""
"53152-24533","TE","Mo","Mo Alie-Cox","Alie-Cox","4.326666768391927","15","4300","IND@BUF","IND","BUF","","","","",""
"53152-14348","TE","Lee","Lee Smith","Smith","3.5","5","4200","IND@BUF","BUF","IND","","","","",""
"53152-26038","TE","Tyler","Tyler Kroft","Kroft","5.983333587646484","6","4200","IND@BUF","BUF","IND","","","","",""
"53152-70426","TE","Reggie","Reggie Gilliam","Gilliam","4.300000190734863","2","4100","IND@BUF","BUF","IND","Q","Knee","","",""
"53152-31169","TE","Jeremy","Jeremy Sprinkle","Sprinkle","0.2750000059604645","4","4100","TB@WAS","WAS","TB","","","","",""
"53152-12526","D","Buffalo","Buffalo Bills","Bills","7.375","16","4100","IND@BUF","BUF","IND","","","","",""
"53152-32000","TE","Luke","Luke Willson","Willson","0.5666666825612386","3","4000","LAR@SEA","SEA","LAR","","","","",""
"53152-68155","TE","Codey","Codey McElroy","McElroy","3.5","1","4000","TB@WAS","TB","WAS","","","","",""
"53152-55099","TE","Ian","Ian Bunting","Bunting","0","1","4000","IND@BUF","IND","BUF","","","","",""
"53152-41552","TE","Dylan","Dylan Cantrell","Cantrell","0","2","4000","TB@WAS","WAS","TB","","","","",""
"53152-55895","TE","Kendall","Kendall Blanton","Blanton","0","2","4000","LAR@SEA","LAR","SEA","","","","",""
"53152-64603","TE","Farrod","Farrod Green","Green","0","1","4000","IND@BUF","IND","BUF","","","","",""
"53152-63839","TE","Tyler","Tyler Mabry","Mabry","0","1","4000","LAR@SEA","SEA","LAR","","","","",""
"53152-64864","TE","Noah","Noah Togiai","Togiai","0","2","4000","IND@BUF","IND","BUF","","","","",""
"53152-39286","TE","O.J.","O.J. Howard","Howard","8.024999618530273","4","4000","TB@WAS","TB","WAS","IR","Achilles","","",""
"53152-87422","TE","Dom","Dom Wood-Anderson","Wood-Anderson","0","1","4000","LAR@SEA","SEA","LAR","","","","",""
"53152-71048","TE","Thaddeus","Thaddeus Moss","Moss","0","1","4000","TB@WAS","WAS","TB","IR","Foot","","",""
"53152-80011","TE","Antony","Antony Auclair","Auclair","0","1","4000","TB@WAS","TB","WAS","","","","",""
"53152-56212","TE","Tommy","Tommy Sweeney","Sweeney","3.0799999237060547","5","4000","IND@BUF","BUF","IND","IR","Illness","","",""
"53152-38805","TE","Marcus","Marcus Baugh","Baugh","0.3499999940395355","2","4000","TB@WAS","WAS","TB","","","","",""
"53152-55209","TE","Nate","Nate Becker","Becker","0","0","4000","IND@BUF","BUF","IND","","","","",""
"53152-83117","TE","Tanner","Tanner Hudson","Hudson","1.399999976158142","4","4000","TB@WAS","TB","WAS","","","","",""
"53152-40371","TE","Johnny","Johnny Mundt","Mundt","2.433333396911621","3","4000","LAR@SEA","LAR","SEA","","","","",""
"53152-70342","TE","Temarrick","Temarrick Hemingway","Hemingway","0.5","3","4000","TB@WAS","WAS","TB","IR","Wrist","","",""
"53152-63697","TE","Brycen","Brycen Hopkins","Hopkins","0","2","4000","LAR@SEA","LAR","SEA","","","","",""
"53152-57556","TE","Jerome","Jerome Cunningham","Cunningham","0","1","4000","TB@WAS","WAS","TB","","","","",""
"53152-11488","TE","Ed","Ed Dickson","Dickson","0","1","4000","LAR@SEA","SEA","LAR","","","","",""
"53152-89588","TE","Colby","Colby Parkinson","Parkinson","1.2999999523162842","2","4000","LAR@SEA","SEA","LAR","","","","",""
"53152-61693","TE","Danny","Danny Pinter","Pinter","0","1","4000","IND@BUF","IND","BUF","","","","",""
"53152-12535","D","Indianapolis","Indianapolis Colts","Colts","9.0625","16","3900","IND@BUF","IND","BUF","","","","",""
"53152-12552","D","Washington","Washington Football Team","Football Team","7.9375","16","3700","TB@WAS","WAS","TB","","","","",""
"53152-12550","D","Seattle","Seattle Seahawks","Seahawks","6.5625","16","3600","LAR@SEA","SEA","LAR","","","","",""
